,ticker,ceo,website,industry_category,industry_group,sec_filings
623,DPLO,Phil Hagerman,www.diplomatpharmacy.com,Drugs,Drugs - Generic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DPLO&owner=exclude&action=getcompany
624,DPZ,J. Patrick Doyle,www.dominos.com,Leisure,Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DPZ&owner=exclude&action=getcompany
625,DRE,James B. Connor,www.dukerealty.com,Real Estate,REIT - Industrial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRE&owner=exclude&action=getcompany
626,DRH,Mark W. Brugger,www.drhc.com,Real Estate,REIT - Hotel/Motel,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRH&owner=exclude&action=getcompany
627,DRI,Eugene I. Lee,www.darden.com,Leisure,Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRI&owner=exclude&action=getcompany
628,DRNA,Douglas M. Fambrough,www.dicerna.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRNA&owner=exclude&action=getcompany
629,DRQ,Blake T. DeBerry,www.dril-quip.com,Energy,Oil & Gas Equipment & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRQ&owner=exclude&action=getcompany
630,DTE,Gerard M. Anderson,www.dteenergy.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DTE&owner=exclude&action=getcompany
631,DUK,Lynn J. Good,www.duke-energy.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DUK&owner=exclude&action=getcompany
632,DVA,Kent J. Thiry,www.davita.com,Health Services,Specialized Health Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DVA&owner=exclude&action=getcompany
633,DVAX,Eddie J. Gray,www.dynavax.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DVAX&owner=exclude&action=getcompany
634,DVN,David A. Hager,www.dvn.com,Energy,Independent Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DVN&owner=exclude&action=getcompany
635,DWDP,nm,nm,Chemicals,Chemicals - Major Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DWDP&owner=exclude&action=getcompany
636,DXC,nm,nm,Computer Software & Services,Application Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DXC&owner=exclude&action=getcompany
637,DXCM,Kevin Ronald Sayer,www.dexcom.com,Health Services,Medical Laboratories & Research,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DXCM&owner=exclude&action=getcompany
638,DXPE,David R. Little,www.dxpe.com,Wholesale,Industrial Equipment Wholesale,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DXPE&owner=exclude&action=getcompany
639,DY,Steven E. Nielsen,www.dycomind.com,Materials & Construction,Heavy Construction,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DY&owner=exclude&action=getcompany
640,EA,Andrew P. Wilson,www.ea.com,Computer Software & Services,Multimedia & Graphics Software,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EA&owner=exclude&action=getcompany
641,EAF,Joel L. Hawthorne,http://www.graftech.com,Manufacturing,Industrial Electrical Equipment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EAF&owner=exclude&action=getcompany
642,EAT,Wyman T. Roberts,www.brinker.com,Leisure,Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EAT&owner=exclude&action=getcompany
643,EBAY,Devin N. Wenig,www.ebayinc.com,Specialty Retail,"Specialty Retail, Other",https://www.sec.gov/cgi-bin/browse-edgar?CIK=EBAY&owner=exclude&action=getcompany
644,EBIX,Robin Raina,www.ebix.com,Computer Software & Services,Business Software & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EBIX&owner=exclude&action=getcompany
645,EBS,Daniel J. Abdun-Nabi,www.emergentbiosolutions.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EBS&owner=exclude&action=getcompany
646,EBSB,Richard J. Gavegnano,,Banking,Savings & Loans,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EBSB&owner=exclude&action=getcompany
647,ECA,Douglas James Suttles,www.encana.com,Energy,Major Integrated Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ECA&owner=exclude&action=getcompany
648,ECHO,Douglas R. Waggoner,www.echo.com,Transportation,Trucking,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ECHO&owner=exclude&action=getcompany
649,ECL,Douglas M. Baker,www.ecolab.com,Consumer NonDurables,Cleaning Products,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ECL&owner=exclude&action=getcompany
650,ECOL,Jeffrey R. Feeler,www.usecology.com,Materials & Construction,Waste Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ECOL&owner=exclude&action=getcompany
651,ECPG,Kenneth A. Vecchione,www.encorecapital.com,Financial Services,Asset Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ECPG&owner=exclude&action=getcompany
652,ED,John J. McAvoy,www.conedison.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ED&owner=exclude&action=getcompany
653,EDIT,Katrine S. Bosley,www.editasmedicine.com,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EDIT&owner=exclude&action=getcompany
654,EE,Mary E. Kipp,www.epelectric.com,Utilities,Electric Utilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EE&owner=exclude&action=getcompany
655,EEFT,Michael J. Brown,www.euronetworldwide.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EEFT&owner=exclude&action=getcompany
